DATE,LAUMT261982000000004A
1990/1/1,167442
1991/1/1,206806
1992/1/1,205055
1993/1/1,156355
1994/1/1,122049
1995/1/1,107194
1996/1/1,105718
1997/1/1,94258
1998/1/1,91363
1999/1/1,88362
2000/1/1,77585
2001/1/1,114156
2002/1/1,137849
2003/1/1,159740
2004/1/1,158831
2005/1/1,154357
2006/1/1,155148
2007/1/1,156239
2008/1/1,179329
2009/1/1,298756
2010/1/1,273916
2011/1/1,218756
2012/1/1,201641
2013/1/1,197236
2014/1/1,164077
2015/1/1,117161
2016/1/1,108877
2017/1/1,95317
2018/1/1,91966
2019/1/1,95138
2020/1/1,245474